constant folder exists!
system folder exists!
constant/polyMesh folder exists!
Everything is clear!
I am the mesh constructor
Mesh was read successfully!


 Cell Volumes            Cell Centers
 
0.00242138          [ 0.0100458 0.00856599 0.00131409 ]

0.00423746          [ 0.00615245 0.00502363 0.000783681 ]

0.00476409          [ 0.00949145 0.0109265 0.00080272 ]

0.00430592          [ 0.000829187 0.0105014 0.000888132 ]

0.00464472          [ 0.0112073 0.00224062 0.00082335 ]

0.00093431          [ 0.0111387 0.00382144 0.0040931 ]

0.0040922          [ 0.00691895 0.0110301 0.000855631 ]

0.00274491          [ 0.00211012 0.010315 0.0012756 ]

0.00503859          [ 0.00895836 0.00448854 0.000694919 ]

0.00182342          [ 0.012403 0.0031765 0.00192024 ]

0.00697497          [ 0.00289226 0.0047211 0.000360155 ]

0.000471115          [ 0.00766182 0.0428206 0.00533217 ]

0.0102145          [ 0.00322379 0.0016022 0.000245931 ]

0.00175497          [ 0.00932533 0.00205678 0.0014314 ]

0.00248422          [ 0.00701312 0.00875385 0.00140705 ]

0.00354558          [ 0.00477566 0.00862606 0.000787568 ]

0.0017218          [ 0.00582654 0.00983417 0.00162178 ]

0.00328486          [ 0.00959756 0.00742972 0.000876361 ]

0.00322615          [ 0.00752498 0.00319039 0.00088756 ]

0.0057498          [ 0.00819105 0.0102063 0.000774462 ]

0.00305046          [ 0.00199532 0.0154393 0.00145978 ]

0.00542802          [ 0.0108114 0.00325608 0.000820373 ]

0.00121528          [ 0.0145432 0.00500844 0.00366418 ]

0.00392256          [ 0.00791067 0.00702796 0.00083913 ]

0.00253877          [ 0.0115475 0.00702552 0.00137831 ]

0.00272177          [ 0.00911987 0.00818541 0.00116984 ]

0.000562754          [ 0.0277914 0.0329639 0.00547171 ]

0.00466185          [ 0.0076459 0.00784594 0.000680389 ]

0.00366667          [ 0.00260719 0.00972108 0.000865054 ]

0.00353403          [ 0.0103498 0.00296892 0.000897522 ]

0.00129207          [ 0.00812053 0.00739877 0.00245488 ]

0.00504346          [ 0.00607208 0.00799305 0.000674099 ]

0.00259046          [ 0.00352789 0.0118219 0.00131243 ]

0.00324635          [ 0.0124179 0.00579951 0.00104727 ]

0.00212838          [ 0.00884582 0.00429382 0.00159736 ]

0.00605652          [ 0.00451985 0.00364759 0.000558091 ]

0.00567893          [ 0.00657879 0.00953947 0.000718108 ]

0.00302528          [ 0.00170023 0.0123494 0.001348 ]

0.00483073          [ 0.0112145 0.00454531 0.000844197 ]

0.0016421          [ 0.0133714 0.00313238 0.00248346 ]

0.00538649          [ 0.00508102 0.00780625 0.000609855 ]

0.00565029          [ 0.00101468 0.0048438 0.000581383 ]

2.38908e-05          [ 1.76002 0.854416 0.1375 ]

0.000406277          [ 0.0502433 0.0141116 0.00808558 ]

0.00303918          [ 0.0080669 0.00761372 0.00104862 ]

0.0031349          [ 0.0109064 0.00815681 0.00136536 ]

0.000402652          [ 0.0689788 0.049604 0.00866497 ]

0.00348849          [ 0.0130084 0.000599114 0.001054 ]

0.00648902          [ 0.00791982 0.00699332 0.000566631 ]

0.000692962          [ 0.00301605 0.011692 0.00530604 ]

0.00473875          [ 0.00170975 0.010845 0.000775918 ]

0.000685891          [ 0.0309325 0.0577966 0.00530361 ]

0.000547333          [ 0.0242445 0.0387631 0.00664623 ]

0.00590472          [ 0.00671365 0.00536787 0.000616067 ]

